bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,6,18600,6000,68999,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.39370967741935486,0.6062903225806452,0.5838173969490553,0.971374770855947,0.0646271304908866
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,7,18600,7200,85199,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.456505376344086,0.5434946236559139,0.5939141602605902,0.9622685313510431,0.0622614119038658
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,8,18600,9600,102599,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.6036559139784946,0.3963440860215054,0.5833974707703437,0.966250738478645,0.07989676864347546
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,9,18600,10800,119999,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.6344623655913979,0.36553763440860215,0.5907074983914693,0.9608104010902807,0.08161729125221787
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,0,1860,420,130589,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.3946236559139785,0.6053763440860215,nan,nan,0.07315761161915008
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,1,1860,13620,148349,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.4268817204301075,0.5731182795698925,nan,nan,0.1043571812802582
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,2,1860,15810,164969,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.3209677419354839,0.6790322580645162,nan,nan,0.10919849381387843
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,3,1860,16800,183929,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.2456989247311828,0.7543010752688172,nan,nan,0.06724045185583648
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,4,1860,2520,185579,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.13709677419354838,0.8629032258064516,nan,nan,0.057019903173749324
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,5,1860,3750,47459,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.17311827956989248,0.8268817204301075,nan,nan,0.08606777837547068
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,6,1860,5490,66059,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,0.19086021505376344,0.8091397849462365,nan,nan,0.06347498655190963
