bundle,family,stage,model,source_file,resample_unit,n_predictions,state,metric,n_blocks,bootstrap_replicates,ci_low_2p5,bootstrap_median,ci_high_97p5,bootstrap_mean,bootstrap_std,block_min,block_max
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,contiguous_blocks,15015,1,p90_dwell_windows,8,200,4.337500000000002,7.087500000000002,11.212500000000002,7.155125000000003,1.8872465178057298,3.0,14.0
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,contiguous_blocks,15015,0,mean_dwell_windows,8,200,61.75491071428572,84.91745919521654,107.55165441176473,85.28251191822885,12.267755782471466,40.25,144.71428571428572
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,contiguous_blocks,15015,0,median_dwell_windows,8,200,3.3125,5.0,7.6890625,5.0946875,1.196056148407955,2.0,13.5
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,contiguous_blocks,15015,0,p90_dwell_windows,8,200,178.6721875,206.30000000000007,235.2234375000001,206.31362500000003,14.923600305885445,141.5,269.6
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,contiguous_blocks,15015,1,mean_dwell_windows,8,200,1.5327082154977374,1.7468914969834086,2.0220906391402718,1.7428844268476622,0.12712499664762275,1.375,2.3333333333333335
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,contiguous_blocks,15015,1,median_dwell_windows,8,200,1.0,1.125,1.375,1.120625,0.11578976953359574,1.0,2.0
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,contiguous_blocks,15015,1,p90_dwell_windows,8,200,2.536875,3.2625,4.026562500000001,3.2693125,0.37803170959729726,2.0,4.6
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,15015,0,mean_dwell_windows,8,200,9.19655165932885,10.43364000873153,11.383203982497475,10.399291776020537,0.5463704902159675,7.2926829268292686,12.81578947368421
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,15015,0,median_dwell_windows,8,200,1.6218750000000002,1.875,2.0,1.8825,0.11798134594057551,1.0,2.0
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,15015,0,p90_dwell_windows,8,200,35.9125,38.1,40.2884375,38.113312500000006,1.172595956619822,35.0,42.0
